iter	Passed	Remaining
0	0	63
1	1	60
2	1	56
3	2	51
4	2	50
5	3	49
6	3	49
7	4	48
8	4	48
9	5	48
10	5	48
11	6	47
12	7	47
13	7	47
14	8	48
15	9	47
16	9	47
17	10	46
18	10	46
19	11	47
20	12	47
21	13	46
22	13	45
23	14	45
24	14	44
25	15	44
26	16	43
27	16	43
28	17	42
29	18	42
30	18	41
31	19	40
32	19	40
33	20	39
34	20	38
35	21	38
36	22	37
37	22	37
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	25	32
44	26	32
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	30	27
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	33	23
59	34	22
60	35	22
61	35	21
62	36	21
63	37	20
64	37	20
65	38	19
66	39	19
67	39	18
68	40	18
69	40	17
70	41	16
71	41	16
72	42	15
73	43	15
74	43	14
75	44	13
76	44	13
77	45	12
78	46	12
79	46	11
80	47	11
81	48	10
82	48	10
83	49	9
84	50	8
85	50	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	55	4
93	55	3
94	56	2
95	56	2
96	57	1
97	57	1
98	58	0
99	59	0
